iter	Logloss
0	0.5838147733
1	0.5059558865
2	0.4605025245
3	0.4220194853
4	0.3893042044
5	0.3674823728
6	0.344273538
7	0.3291551573
8	0.3083410414
9	0.2897912761
10	0.2708189197
11	0.2605308518
12	0.2438776307
13	0.2368662861
14	0.2200192104
15	0.2040258741
16	0.1979170928
17	0.1923441374
18	0.1832194555
19	0.1776023884
20	0.1732008806
21	0.1707673616
22	0.1676242396
23	0.1646664353
24	0.1619526697
25	0.1571951848
26	0.1540016726
27	0.1460534561
28	0.1416304295
29	0.1400175756
30	0.136114632
31	0.1291546058
32	0.127332388
33	0.1220151647
34	0.1195865252
35	0.1162722264
36	0.1153985456
37	0.1141295151
38	0.1109222957
39	0.1090038921
40	0.106303666
41	0.1049407133
42	0.1037459594
43	0.1028460759
44	0.1021760041
45	0.09999303852
46	0.09941746119
47	0.09858286331
48	0.09654634921
49	0.09624089644
50	0.09479456098
51	0.09413820173
52	0.09306601584
53	0.09239101503
54	0.09107746489
55	0.09038213623
56	0.08992488194
57	0.0892895355
58	0.08746199139
59	0.08408141868
60	0.08142235745
61	0.0803618816
62	0.07876179537
63	0.07847279598
64	0.07799338548
65	0.07585905057
66	0.07538681608
67	0.07398607605
68	0.07328207617
69	0.07111067792
70	0.07067369882
71	0.06963579264
72	0.0688138885
73	0.068254119
74	0.06715501972
75	0.0656651812
76	0.06455316242
77	0.06385205174
78	0.06354281723
79	0.06328770513
80	0.06221511603
81	0.06190195043
82	0.06168013799
83	0.06103180247
84	0.06054827894
85	0.0594871252
86	0.05796475994
87	0.05465692287
88	0.05303517424
89	0.0520057992
90	0.0509411813
91	0.05078814014
92	0.04939718533
93	0.04826231534
94	0.04646377447
95	0.04585395736
96	0.0453944197
97	0.0441619421
98	0.04398555355
99	0.04378846989
100	0.04362400884
101	0.04295044018
102	0.04260529551
103	0.04242913027
104	0.04203433801
105	0.04191023141
106	0.0412348871
107	0.04067433745
108	0.04048051315
109	0.04034376008
110	0.04026491511
111	0.03989316879
112	0.03969337353
113	0.03937909645
114	0.03852054199
115	0.03818839289
116	0.03787863344
117	0.03689194655
118	0.03589924813
119	0.03573844382
120	0.03533536637
121	0.03488414052
122	0.03399416906
123	0.03372245121
124	0.03361636986
125	0.03331855661
126	0.0319645092
127	0.03167106745
128	0.03159268797
129	0.03139567845
130	0.03118471067
131	0.03109259108
132	0.03043128311
133	0.02981014923
134	0.02959753852
135	0.02942412597
136	0.02871114626
137	0.02820388617
138	0.02742680106
139	0.02727377012
140	0.02673178899
141	0.02669413791
142	0.02606145574
143	0.02586933163
144	0.02554739982
145	0.02538034102
146	0.02520209258
147	0.02513130641
148	0.02507760502
149	0.02441132191
150	0.02431215883
151	0.02418573746
152	0.02338794602
153	0.02334958483
154	0.0231639175
155	0.02263723321
156	0.02222425007
157	0.02209890971
158	0.02193037667
159	0.02131328523
160	0.02071546412
161	0.02068266771
162	0.02060785516
163	0.02051686361
164	0.02015737421
165	0.01954025407
166	0.01952787368
167	0.01933715431
168	0.01929956566
169	0.01903190574
170	0.0189622519
171	0.01874789961
172	0.01870048901
173	0.01859514762
174	0.01856529936
175	0.01854211412
176	0.01849333987
177	0.01844648691
178	0.01830512755
179	0.01811704724
180	0.01780256269
181	0.01745549187
182	0.01738347004
183	0.01734613332
184	0.01702001814
185	0.01682912238
186	0.01652125263
187	0.01636572013
188	0.01623545588
189	0.01621751451
190	0.01615885192
191	0.01605014158
192	0.01603776227
193	0.01595119734
194	0.01594420645
195	0.01593219098
196	0.01588376113
197	0.01527010163
198	0.01510681368
199	0.01499655262
200	0.01497573232
201	0.01486957391
202	0.01470038073
203	0.01442627193
204	0.01437319172
205	0.01416324019
206	0.01415443321
207	0.01397214027
208	0.01393507866
209	0.01375498556
210	0.01374370287
211	0.01371378089
212	0.01356395113
213	0.01343113046
214	0.01322588844
215	0.0131430566
216	0.01311463911
217	0.01290463858
218	0.01289345116
219	0.01283483589
220	0.0127064169
221	0.01260178913
222	0.01251952709
223	0.01243554694
224	0.01242557307
225	0.01227267175
226	0.01221285239
227	0.01218900138
228	0.01208986193
229	0.01196600064
230	0.01195453143
231	0.01194718122
232	0.01189335874
233	0.01177489429
234	0.01172008223
235	0.01162233427
236	0.0116137946
237	0.01153360963
238	0.01150029631
239	0.01143084287
240	0.0113283949
241	0.01127902894
242	0.01126451238
243	0.01111715287
244	0.01101498598
245	0.0110072643
246	0.01093249979
247	0.01070012225
248	0.01065931062
249	0.01064471324
250	0.01052939019
251	0.01047372116
252	0.01028039367
253	0.01027065517
254	0.01010931505
255	0.01004972737
256	0.009994553936
257	0.009977784104
258	0.009775776598
259	0.009738165853
260	0.009693925855
261	0.009613931883
262	0.00951463524
263	0.009447528095
264	0.009333430133
265	0.009294672307
266	0.009254904682
267	0.009247863996
268	0.009236863495
269	0.00922657217
270	0.009194577772
271	0.009037647423
272	0.008875894065
273	0.008822058188
274	0.008817591061
275	0.008743935943
276	0.00865786527
277	0.008525272537
278	0.008503171917
279	0.008343075901
280	0.008340012
281	0.008332277202
282	0.008328256676
283	0.00832578437
284	0.008253779579
285	0.008211486569
286	0.008101693493
287	0.008059636377
288	0.008036289582
289	0.008029620871
290	0.00801584437
291	0.007857919455
292	0.007835924321
293	0.007797104789
294	0.007779705435
295	0.007742120608
296	0.007722532543
297	0.007722524662
298	0.007714725642
299	0.007712245542
300	0.007695601349
301	0.007644953737
302	0.00760791087
303	0.007553674738
304	0.007499489935
305	0.007441147155
306	0.007299292744
307	0.007267397075
308	0.007237411201
309	0.007223513088
310	0.007120134504
311	0.007114520135
312	0.007114485173
313	0.007112742821
314	0.007087943888
315	0.00708793547
316	0.007087938741
317	0.007076203798
318	0.007073114399
319	0.007062692826
320	0.007047972123
321	0.006948448887
322	0.006921453224
323	0.006810967561
324	0.006797841601
325	0.006752341575
326	0.006685629941
327	0.006651818532
328	0.006578954533
329	0.006573229968
330	0.006573229968
331	0.006573229968
332	0.006573229968
333	0.006573229968
334	0.006573229968
335	0.006562985367
336	0.006534248695
337	0.006457489981
338	0.006456465591
339	0.006456214209
340	0.006453380168
341	0.006432334205
342	0.006415477439
343	0.006339417039
344	0.006290960287
345	0.006249731474
346	0.006205745347
347	0.006184305916
348	0.006176419406
349	0.006141269179
350	0.006099958861
351	0.006099958861
352	0.006080776876
353	0.006078764074
354	0.006039451142
355	0.006033319218
356	0.00603329924
357	0.006025810657
358	0.006015026114
359	0.006015012948
360	0.005976451983
361	0.005959740851
362	0.00587079442
363	0.005870775844
364	0.005870702005
365	0.005870154561
366	0.005855080567
367	0.0058490722
368	0.005843860246
369	0.005814301968
370	0.005786318968
371	0.005768449335
372	0.005758146303
373	0.005740020006
374	0.005720999848
375	0.005714677128
376	0.005706592759
377	0.005692680637
378	0.005643147082
379	0.005642929585
380	0.005636420295
381	0.005621860111
382	0.005586817112
383	0.005586816019
384	0.005582601913
385	0.005573242042
386	0.005556230011
387	0.005532800715
388	0.005503352782
389	0.005458703365
390	0.005448386961
391	0.005448380809
392	0.005448380809
393	0.005448326257
394	0.005422154288
395	0.005421871591
396	0.00542182222
397	0.005421786696
398	0.005411624129
399	0.005337316562
400	0.005328942462
401	0.005323397952
402	0.005280038947
403	0.005262073156
404	0.005262073156
405	0.005262040649
406	0.0052620144
407	0.005261979549
408	0.005250745637
409	0.005242437188
410	0.005242429586
411	0.005208835351
412	0.005208828562
413	0.005208791711
414	0.005208789969
415	0.005208456935
416	0.005208398478
417	0.005208385668
418	0.005208388273
419	0.005208334374
420	0.005208334374
421	0.00520830308
422	0.005208020931
423	0.005208022038
424	0.005189699204
425	0.005189690678
426	0.005189678771
427	0.005187129179
428	0.005187104156
429	0.005182026099
430	0.00516775061
431	0.005153811009
432	0.005127662775
433	0.005118134231
434	0.005110618749
435	0.005106648552
436	0.005106446184
437	0.005100658448
438	0.005082465199
439	0.005029803363
440	0.005002326039
441	0.005002311377
442	0.005002294794
443	0.004997054165
444	0.004997035645
445	0.004997031178
446	0.004996997549
447	0.004966846673
448	0.004965106148
449	0.004959273571
450	0.004951607047
451	0.004951574672
452	0.004951565165
453	0.004947678149
454	0.004947497598
455	0.004930781565
456	0.004902222596
457	0.004834858195
458	0.004826722921
459	0.004794706983
460	0.00476836445
461	0.004696454876
462	0.004693823491
463	0.004693689565
464	0.004631106794
465	0.004628088052
466	0.004628074245
467	0.004628071953
468	0.004628071829
469	0.004625979801
470	0.004614794213
471	0.004612645854
472	0.004612638332
473	0.004612628025
474	0.004612608046
475	0.004612605934
476	0.004612584153
477	0.00461152529
478	0.004611513165
479	0.004611497848
480	0.004606386564
